Location,Address,LATITUDE,LONGITUDE
ASPCA Adoption Center,"424 E. 92nd St, New York City, 10128",40.78017144,-73.94473397
Bideawee Manhattan,"410 East 38th Street, New York, NY 10016",40.74563881,-73.97058539
Animal Haven,"200 Centre Street , New York NY 10013 ",40.71892762,-73.99825664
BARC Shelter,"697 Grand St #921, Brooklyn, NY 11211",40.71198279,-73.94471792
Social Tees Animal Rescue,"443 East 9th Street, New York, NY 10009",40.72770131,-73.98254983
The Humane Society of New York,"306 East 59th Street, New York, NY 10022",40.76028378,-73.96331476
Manhattan Animal Care Center,"326 East 110th Street, New York, NY 10029",40.79265182,-73.93888996
Brooklyn Animal Care Center,"2336 Linden Boulevard, Brooklyn, NY 11208",40.66384453,-73.87575418
Staten Island Care Center,"3139 Veterans Road West, Staten Island, NY 10309",40.52812235,-74.23699749
Bronx Resource Center,"464 East Fordham Road, Bronx, NY 10458",40.86054335,-73.88865499
